scorer,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon,CYMoon
bodyparts,LeftEye,LeftEye,LeftEar,LeftEar,Occiput,Occiput,OriginTail,OriginTail,EndTail,EndTail,RightShoulder,RightShoulder,RightElbow,RightElbow,RightWrist,RightWrist,RightMCPjoint,RightMCPjoint,RightDistalPhalanx_1,RightDistalPhalanx_1,RightKnee,RightKnee,RightAnkle,RightAnkle,RightHeel,RightHeel,RightMTPjoint,RightMTPjoint,RightDistalPhalanx_2,RightDistalPhalanx_2,LeftShoulder,LeftShoulder,LeftElbow,LeftElbow,LeftWrist,LeftWrist,LeftMCPjoint,LeftMCPjoint,LeftDistalPhalanx_1,LeftDistalPhalanx_1,LeftHipjoint,LeftHipjoint,LeftKnee,LeftKnee,LeftAnkle,LeftAnkle,LeftHeel,LeftHeel,LeftMTPjoint,LeftMTPjoint,LeftDistalPhalanx_2,LeftDistalPhalanx_2
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\2 Trial_330 fps\img008.png,1397.258884,1010.8628,,,,,,,,,,,1401.030794,1113.782066,1361.156314,1177.904541,1335.291787,1182.215295,1320.204146,1184.909517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\2 Trial_330 fps\img018.png,1279.251977,1006.013202,1323.437212,1000.085914,1347.146362,987.1536503,,,,,1356.84556,974.7602309,1363.850536,1107.315934,1357.384404,1177.365696,1334.752943,1182.754139,1319.665302,1184.909517,,,,,,,,,,,1363.850536,1040.499238,1320.204146,1136.952372,1270.630468,1184.909517,1247.460162,1195.147559,1239.377498,1202.152535,,,,,,,,,,,,
labeled-data\2 Trial_330 fps\img024.png,1216.746036,995.7751595,1259.853582,988.7701833,1288.951175,981.2263627,,,,,1304.038816,970.4494763,1326.670278,1108.393623,1349.840584,1167.127654,1333.13641,1182.754139,1321.820679,1187.603738,,,,,,,,,,,1294.339618,1038.343861,1304.577661,1107.315934,1265.242025,1181.137606,1247.999007,1196.764092,1238.299809,1202.691379,,,1418.812657,1093.305982,1436.59452,1152.578857,,,1414.501902,1167.127654,1398.875417,1173.593786
labeled-data\2 Trial_330 fps\img031.png,1167.711203,989.8478719,1209.74106,982.3040514,1235.605587,984.998273,,,,,1256.620516,975.2990752,1215.668347,1088.995227,1164.478137,1129.408551,1169.86658,1156.889612,1184.415377,1164.433432,1434.977987,1128.330863,,,,,,,,,1247.460162,1037.266172,1278.713133,1118.631665,1260.93127,1188.142583,1247.999007,1196.764092,1235.066743,1203.230224,1419.351501,1060.975322,1357.923249,1116.476288,1323.976056,1181.137606,1340.68023,1189.220271,1297.572684,1191.914493,1281.946199,1198.380625
labeled-data\2 Trial_330 fps\img043.png,1035.66726,996.0072435,1075.998941,987.9409073,1102.679899,985.4589577,1314.886591,1023.929177,1380.658255,1071.086219,1123.776471,974.2901845,1080.342353,1096.526203,1044.974571,1165.400304,1018.9141,1173.46664,1007.124839,1176.569077,1221.81348,1089.080354,1280.759784,1134.375934,1298.133431,1141.821783,1257.181262,1157.954455,1256.560775,1170.364203,1110.125748,1035.718437,1182.102287,1111.4179,1220.572506,1169.123229,1232.361766,1189.599313,1240.428102,1202.009061,1291.928557,1046.88721,1268.350036,1120.725211,1326.055364,1174.707615,1340.326574,1181.532977,1294.410506,1193.942725,1282.621246,1200.768086
labeled-data\2 Trial_330 fps\img047.png,995.3355787,986.0794451,1035.046772,977.3926215,1059.245781,976.7721341,1267.109061,1030.754538,1326.055364,1074.188656,1082.203815,968.7057978,1061.107243,1104.592539,1039.390184,1169.743716,1016.43215,1173.46664,1007.124839,1177.189565,1164.728639,1084.116455,1147.97548,1161.056892,1157.282791,1170.364203,1108.264286,1159.19543,1092.131613,1157.333968,1067.932605,1030.134051,1097.095513,1100.869614,1053.661395,1148.026657,1046.836033,1156.713481,1053.040907,1163.538842,1246.632976,1045.025748,1252.83785,1130.65301,1317.989028,1166.020792,1331.639751,1167.261766,1297.512943,1188.978825,1286.34417,1200.147599
labeled-data\2 Trial_330 fps\img054.png,912.8107543,990.4228569,951.2809732,980.4950585,977.3414441,984.2179829,1195.75301,1020.82674,1253.458338,1039.441362,1002.781428,969.3262852,1031.323848,1089.700841,1044.974571,1159.815918,1021.39605,1174.087128,1010.227276,1177.810052,1103.300387,1081.634505,1105.782336,1165.400304,1111.366723,1177.189565,1069.17358,1172.225666,1054.281882,1170.984691,968.0341331,1045.025748,917.7746535,1118.243262,869.9971236,1158.574943,842.6956779,1167.882254,829.6654425,1175.94859,1170.313026,1034.477462,1229.259329,1122.586673,1288.82612,1144.303733,1301.856355,1149.267632,1287.585145,1186.496876,1282.000758,1200.147599
